,index,visitor_ip,average_time_per_session_per_user
0,75411,27.120.106.3,66299.0
1,89033,66.249.82.186,57128.0
2,77622,37.228.107.126,55503.0
3,59257,168.235.194.47,55479.0
4,2891,1.39.32.67,55311.0
5,19235,107.167.107.108,55293.0
6,77466,37.228.105.94,55212.5
7,5289,101.221.134.218,55172.3333333
8,3426,1.39.46.165,55153.5
9,8563,103.232.128.226,54316.0
10,1920,1.38.21.92,54169.0
11,90082,8.37.227.122,54134.0
12,52197,124.123.159.9,54075.0
13,58838,163.53.203.235,54068.0
14,77451,37.228.105.65,54035.0
15,3961,1.39.63.152,52555.0
16,90535,98.230.153.173,52543.25
17,74920,23.220.148.102,51762.5
18,70170,203.13.168.47,51017.0
19,19648,107.167.108.90,50993.0
20,3590,1.39.60.67,50964.375
21,8637,103.233.116.38,50641.5
22,19514,107.167.108.179,50549.0
23,84413,59.145.232.122,50484.0
24,3857,1.39.62.225,50435.0
25,60354,175.101.19.132,50420.5
26,36546,117.220.185.242,50418.0
27,90112,8.37.227.170,50411.0
28,59098,167.114.100.25,50402.0
29,68411,20.133.1.1,50392.25
30,88873,65.255.37.203,50391.0
31,89152,70.39.184.200,49485.0
32,2227,1.39.12.167,49336.0
33,88877,65.255.37.215,49290.0
34,89883,8.37.224.56,49228.5
35,15622,106.51.137.26,49112.0
36,9911,103.255.145.102,49092.0
37,19900,107.167.112.248,49079.0
38,38681,117.239.111.114,48885.5
39,2004,1.38.23.128,48855.6666667
40,19320,107.167.107.195,48732.6666667
41,66113,182.75.25.228,48699.0
42,52174,124.123.141.101,48697.0
43,89323,70.39.186.123,48667.0
44,4162,1.39.80.26,48645.0
45,9231,103.245.198.110,48635.0
46,3795,1.39.62.143,48622.0
47,55352,14.141.73.242,48566.5
48,89267,70.39.185.35,48566.3333333
49,89112,70.39.184.139,48467.0
50,59681,168.235.200.74,48446.0
51,67901,192.20.246.138,48333.125
52,40765,117.253.108.44,46466.0
53,89312,70.39.186.100,46369.0
54,26289,115.250.34.98,46330.5
55,39527,117.244.25.135,46325.0
56,13848,106.219.17.253,46299.2857143
57,3937,1.39.63.114,46278.0
58,66127,182.75.33.150,46252.0
59,89980,8.37.225.38,46245.0
60,68553,202.133.60.24,46168.0
61,69,1.186.32.38,46158.0
62,77252,37.228.104.188,46091.8571429
63,19676,107.167.109.118,46090.75
64,3476,1.39.60.122,46058.6666667
65,54365,14.139.160.234,45179.1666667
66,71907,220.156.184.4,45139.0
67,89869,8.37.224.38,45137.0833333
68,54410,14.139.186.162,45132.0
69,77293,37.228.104.25,45128.0
70,65278,182.72.26.210,45078.0
71,68307,199.190.46.117,45030.0
72,52416,124.123.243.202,45025.0
73,19627,107.167.108.68,45025.0
74,44487,122.15.56.59,44929.0
75,58005,150.107.9.203,44875.0
76,59751,170.248.12.127,44834.0
77,77444,37.228.105.53,44805.0
78,77470,37.228.106.100,44254.3333333
79,65197,182.72.183.234,43916.5625
80,19252,107.167.107.125,43872.5
81,5391,101.221.135.77,43834.8
82,78861,45.116.68.178,43723.5714286
83,23523,115.114.71.166,43510.0
84,68253,198.58.96.215,43471.0
85,29177,117.104.239.89,43331.7446809
86,72964,223.176.32.111,43303.8888889
87,75684,27.251.88.205,43237.6
88,51415,123.236.87.44,43028.75
89,77350,37.228.105.137,42723.4848485
90,70539,203.196.248.167,42478.6363636
91,19705,107.167.109.148,42176.5714286
92,69459,202.65.140.55,42154.8
93,19796,107.167.109.37,41694.375
94,22133,112.79.39.43,41587.0
95,21708,112.79.36.146,41534.0
96,49148,122.176.153.183,41506.5
97,26144,115.250.127.129,41479.6666667
98,88410,61.246.188.33,41479.3333333
99,70426,203.192.231.2,41456.5
100,19467,107.167.108.124,41434.0
101,1984,1.38.22.57,41396.0
102,68522,202.133.55.134,41363.5
103,42112,119.226.42.242,41346.0
104,82376,49.206.245.152,41326.5
105,3629,1.39.61.122,41275.3333333
106,21821,112.79.37.143,41230.5833333
107,59682,168.235.200.75,41181.5
108,77230,37.228.104.146,41169.0
109,21904,112.79.37.64,40849.5
110,41955,118.102.224.210,40843.2
111,66359,183.82.106.184,40663.5
112,7738,103.16.70.144,40627.125
113,54648,14.139.242.250,40449.0
114,89482,70.39.187.172,40448.0
115,65861,182.74.203.182,40427.0
116,10338,103.39.237.250,40403.5
117,151,1.186.78.17,40370.75
118,8160,103.225.178.180,40331.0
119,73861,223.196.84.230,40314.0
120,3750,1.39.61.74,40305.4
121,21811,112.79.37.123,40264.0
122,7312,101.63.167.143,40241.3333333
123,60358,175.101.19.226,40102.5
124,21907,112.79.37.68,40075.0
125,2753,1.39.15.53,40060.0
126,36784,117.221.120.32,40057.1111111
127,54694,14.139.252.194,40015.3333333
128,60081,173.255.255.240,39989.0
129,60056,173.252.74.113,39950.0
130,59300,168.235.195.17,39943.0
131,10601,103.48.108.3,39936.0
132,19161,107.161.95.215,39869.0
133,59108,167.160.166.121,39869.0
134,89175,70.39.185.110,39835.0
135,2465,1.39.13.89,39772.0
136,25753,115.248.37.181,39742.25
137,19479,107.167.108.136,39705.0
138,38981,117.240.235.130,39668.5
139,4141,1.39.80.110,39451.0
140,68534,202.133.55.166,39323.625
141,3048,1.39.34.12,39212.6666667
142,15621,106.51.137.253,39184.1428571
143,3004,1.39.33.44,38912.4
144,75080,24.6.78.128,38886.6666667
145,33319,117.205.50.243,38868.5
146,89380,70.39.186.252,38802.1111111
147,58901,164.100.131.5,38786.0
148,59238,168.235.194.211,38746.0
149,19469,107.167.108.126,38738.6666667
150,75131,27.106.13.182,38738.0
151,21883,112.79.37.34,38709.0
152,7541,103.10.220.11,38632.1428571
153,19559,107.167.108.225,38411.5555556
154,8367,103.228.141.18,38326.0
155,88160,61.12.78.83,38297.0
156,1759,1.38.19.14,38128.0
157,61806,180.76.15.163,38122.0
158,71608,218.214.40.212,38076.0
159,62651,182.64.38.51,37821.5
160,25912,115.249.36.157,37820.375
161,57519,141.0.11.175,37796.25
162,79039,46.4.28.81,37758.045977
163,70973,205.177.226.52,37747.0
164,78351,43.248.241.23,37684.047619
165,21663,112.79.35.7,37641.1666667
166,21593,112.79.35.17,37619.6
167,57703,144.36.210.171,37501.0344828
168,19599,107.167.108.35,37470.32
169,70731,203.76.188.228,37442.0
170,28618,116.50.66.231,37362.7
171,9966,103.255.28.4,37338.25
172,7748,103.16.71.14,37234.8181818
173,67791,184.75.210.226,37200.0
174,51334,123.236.184.228,37053.5714286
175,2267,1.39.12.226,37005.3333333
176,19833,107.167.109.73,36918.0
177,3965,1.39.63.157,36898.6666667
178,89488,70.39.187.178,36797.875
179,3889,1.39.62.5,36785.7222222
180,21587,112.79.35.160,36777.1052632
181,22055,112.79.38.92,36736.3333333
182,19710,107.167.109.153,36683.6666667
183,2522,1.39.14.174,36601.5
184,21851,112.79.37.192,36590.75
185,23294,115.112.253.76,36585.5
186,88437,61.246.49.98,36573.0
187,3076,1.39.34.167,36554.0
188,54620,14.139.238.210,36542.25
189,23312,115.112.49.82,36534.0
190,59307,168.235.195.200,36501.0
191,21790,112.79.36.82,36385.0
192,40745,117.253.106.25,36384.0
193,50677,122.252.242.131,36335.0
194,89840,8.37.224.236,36327.75
195,53107,124.40.246.212,36304.0
196,82378,49.206.245.49,36297.6
197,50862,123.136.214.239,36259.625
198,78315,43.247.159.39,36225.6666667
199,9251,103.245.198.250,36194.0
200,89282,70.39.185.59,36193.1428571
201,70200,203.145.155.11,36180.3333333
202,77828,42.99.164.64,36091.6666667
203,53992,135.245.10.1,36077.6666667
204,19159,107.161.95.213,35973.0
205,42141,119.235.48.220,35939.8181818
206,28231,116.203.38.123,35925.6666667
207,62171,182.48.201.4,35914.1818182
208,10209,103.37.201.252,35809.5714286
209,54536,14.139.223.167,35791.0
210,3761,1.39.61.92,35787.0
211,88971,66.220.156.119,35629.0
212,20743,111.93.188.66,35535.7
213,2294,1.39.12.40,35518.5714286
214,89706,74.125.63.33,35509.4367816
215,21576,112.79.35.14,35485.8571429
216,77514,37.228.106.181,35418.5
217,57658,144.160.226.92,35369.125
218,77204,37.228.104.103,35362.7777778
219,2043,1.38.23.24,35313.5
220,53099,124.40.244.69,35290.0
221,59189,168.230.2.30,35251.0
222,79030,46.236.24.51,35232.4545455
223,2914,1.39.33.105,35210.3333333
224,1770,1.38.19.17,35195.0
225,66703,183.82.213.85,35191.4285714
226,59565,168.235.198.208,35166.0
227,2733,1.39.15.251,35142.0
228,57499,141.0.10.68,35142.0
229,21920,112.79.37.83,35088.0
230,81583,49.204.72.11,35046.5
231,9234,103.245.198.126,35034.8461538
232,53063,124.30.112.153,34935.0
233,90168,8.37.227.55,34928.125
234,20309,111.119.231.90,34919.0
235,21997,112.79.38.221,34867.0
236,68433,202.12.83.43,34820.7692308
237,22413,113.193.180.182,34787.4166667
238,88127,61.12.45.242,34770.8
239,19764,107.167.109.204,34742.6
240,71035,207.244.76.210,34631.0
